original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia papulosa,Acacia papulosa,Acacia papulosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia pentadenia,Acacia pentadenia,Acacia pentadenia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia phlebopetala var.. pubescens,Acacia phlebopetala var. pubescens,Acacia phlebopetala var. pubescens,APC,variety,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia pinguiculosa,Acacia pinguiculosa,Acacia pinguiculosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia pinguiculosa ssp. pinguiculosa,Acacia pinguiculosa subsp. pinguiculosa,Acacia pinguiculosa subsp. pinguiculosa,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia pinguiculosa ssp. teretifolia,Acacia pinguiculosa subsp. teretifolia,Acacia pinguiculosa subsp. teretifolia,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia prismifolia,Acacia prismifolia,Acacia prismifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia resinomarginea,Acacia resinomarginea,Acacia resinomarginea,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Acacia rhamphophylla,Acacia rhamphophylla,Acacia rhamphophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia rostellata,Acacia rostellata,Acacia rostellata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia rostellifera,Acacia rostellifera,Acacia rostellifera,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia shuttleworthii,Acacia shuttleworthii,Acacia shuttleworthii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia simulans,Acacia simulans,Acacia simulans,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia singula,Acacia singula,Acacia singula,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia sp. Esperance (M.A. Burgman 1833b),Acacia sp. Esperance (M.A. Burgman 1833b),Acacia sp. Esperance (M.A.Burgman 1833b),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia sp. Petrudor Rocks (B.R. Maslin 7714),Acacia sp. Petrudor Rocks (B.R. Maslin 7714),Acacia sp. Petrudor Rocks (B.R.Maslin 7714),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
